distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0151459290,0.1669707306,2.0646052931,-3.1088995934,-0.2944836318,-0.0091533093
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
-0.0159075989,0.1726901586,2.1484902634,3.1012289524,0.0251494665,-0.0016687590
