distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0924143870,-0.0297382806,4.3100517343,-3.1371459961,-0.0461290479,-0.0003093875
0.0927098706,-0.0288572621,4.4051193826,3.0872962475,0.1371570975,-0.0284093507
