distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
